%s,%s
"%s already exist.","%s Já existem."
"%s already exists.","%s Já existe."
"-- Please Select --","Por favor selecione..."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor insira 6 ou mais caracteres. Espaços inicial ou será ignorado."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Por favor insira 7 ou mais caracteres. Senha deve conter caracteres numéricos e alfabéticos."
"Please enter a number 0 or greater in this field.","Por favor, insira um número 0 ou maior neste campo."
"Please enter a number 1 or greater in this field.","Por favor, insira um número de 1 ou maior neste campo."
"Please enter a number greater than 0 in this field.","Por favor insira um número maior que 0 neste domínio."
"Please enter a number lower than 100.","Por favor, insira um número inferior a 100."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um montante de $ válido. Por exemplo, $100,00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Por favor digite uma chave de URL válido. Por exemplo ""exemplo-página"", ""exemplo-Page"" ou ""anotherlevel/exemplo-página""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor introduza um URL válido. Por exemplo, http://www.example.com ou www.example.com"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor introduza um URL válido. Protocolo é necessário (http://, https:// ou ftp: / /)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor insira um identificador XML válido. Por exemplo something_1, block5, id-4."
"Please enter a valid credit card number.","Por favor, insira um número válido de cartão de crédito."
"Please enter a valid credit card verification number.","Por favor insira um número de verificação de cartão de crédito válido."
"Please enter a valid date between %s and %s","Por favor introduza uma data válida entre %s e %s"
"Please enter a valid date equal to or greater than %s","Por favor introduza uma data válida maior ou igual a %s"
"Please enter a valid date less than or equal to %s","Por favor introduza uma data válida menor ou igual a %s"
"Please enter a valid date.","Por favor introduza uma data válida."
"Please enter a valid day (1-%d).","Por favor insira um dia válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um endereço de email válido. Por exemplo, johndoe@domain.com."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de fax válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid full date","Por favor introduza uma data válida de completa"
"Please enter a valid month (1-12).","Por favor insira um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor, insira um número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, insira um número de telefone válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor digite um CPF válido. Por exemplo, 123-45-6789."
"Please enter a valid year (1900-%d).","Por favor insira um ano válido (1900-%d)."
"Please enter a valid zip code.","Por favor, introduza um código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, introduza um código postal válido. Por exemplo 90602 ou 90602-1234."
"Please enter issue number or start date for switch/solo card type.","Por favor insira o número de emissão ou data para tipo de switch/solo cartão de início."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor, insira um comprimento CSS válido. Por exemplo 100px ou 77pt ou 20em ou .5ex ou 50%."
"Please make sure your passwords match.","Por favor, certifique-se de que combinam suas senhas."
"Please select State/Province.","Por favor selecione o estado/província."
"Please select a file","Por favor, selecione um arquivo"
"Please select an option.","Por favor, selecione uma opção."
"Please select one of the above options.","Por favor, selecione uma das opções acima."
"Please select one of the options.","Por favor, selecione uma das opções."
"Please set available and/or protected paths list(s) before validation.","Por favor, defina caminhos disponíveis e/ou protegido (s) antes de validação."
"Please specify either a category or a product, or both.","Por favor, especifique uma categoria ou um produto ou ambos."
"Please use letters only (a-z or A-Z) in this field.","Por favor, use letras (a-z ou A-Z) neste campo."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Por favor, use números somente neste campo. Por favor, Evite espaços ou outros caracteres, tais como pontos ou vírgulas."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use somente letras (a-z ou A-Z) ou números (0-9) somente neste campo. Sem espaços ou outros caracteres são permitidos."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor, use somente letras (a-z ou A-Z) ou números (0-9) ou espaços e # somente neste campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use somente letras (a-z ou A-Z), números (0-9) ou underscore(_) neste campo, o primeiro caractere deve ser uma carta."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use somente letras (a-z), números (0-9) ou underscore(_) neste campo, o primeiro caractere deve ser uma carta."
"Please use only visible characters and spaces.","Por favor, use apenas caracteres visíveis e espaços."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de data: dd/mm/aaaa. Por exemplo 17/03/2006 de 17 de março de 2006."
"Please wait, loading...","Aguarde, carregando..."
Polls,Enquetes
"Port (25)","Porto (25)"
Profiler,Profiler
"Recovery Link Expiration Period (days)","Período de validade de recuperação Link (dias)"
"Request Path for Specified Store","Caminho da solicitação para armazenamento especificado"
"Request path length exceeds allowed %s symbols.","Solicitar o comprimento do caminho excede permitido %s símbolos."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Solicitou o arquivo não pode incluir a passagem de diretório pai ("".../"", ""..notação \\)"""
"Requested invalid store ""%s""","Loja inválida solicitada ""%s"""
"Resource is not set.","Recurso não está definido."
"Retrieve info about current Magento installation","Recuperar informações sobre a instalação atual do Magento"
"Retrieve store data","Recuperar dados de armazenamento"
"Retrieve store list","Recuperar a lista de loja"
"Return-Path Email","E-mail do Return-Path"
"Root Category","Categoria raiz"
"Sales Representative","Representante de vendas"
"Sales Representative Contact Email","E-mail de contato representante vendas"
"Sales Representative Contact Name","Nome de contato representante vendas"
Save,Salvar
"Save Store","Salvar a loja"
"Save Store View","Salvar a visão de loja"
"Save Website","Salvar site"
"Search Engines Optimization","Otimização de motores de busca"
Secure,Secure
Security,Segurança
"Select Date","Selecione a data"
"Select Media Database","Selecione o banco de dados de mídia"
"Sender Email","E-mail remetente"
"Sender Name","Nome do remetente"
Services,Serviços
"Session Cookie Management","Gestão de cookies de sessão"
"Session Lifetime (seconds)","Vida de sessão (segundos)"
"Session Validation Settings","Configurações de validação de sessão"
"Set Return-Path","Definir caminho de retorno"
"Set as Default","Conjunto como padrão"
"Skin (Images / CSS)","Pele (imagens / CSS)"
"Sort Order","Ordem de classificação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Data/hora especificado ""%1$ s"" não correspondem a formato ""%2$ s""."
"Start date cannot be greater than end date.","Data de início não pode ser superior a data de término."
"Startup Page","Página de inicialização"
Status,Status
"Storage Configuration for Media","Configuração de armazenamento para mídia"
Store,Loja
"Store API","Loja API"
"Store Contact Address","Endereço de contacto loja"
"Store Contact Information","Armazenar informações de contato"
"Store Contact Telephone","Telefone de contato loja"
"Store Email Addresses","Endereços de E-mail da loja"
"Store Information","Armazenar informações"
"Store Name","Nome da loja"
"Store View","Vista da loja"
"Store View Information","Exibir informações de loja"
"Store View Name","Nome de exibição de loja"
"Store view doesn't exist","Vista de loja não existe."
"Store with the same code","Loja com o mesmo código"
System,Sistema
"System Log File Name","Nome de arquivo de Log do sistema"
"Template Path Hints","Dicas do caminho de modelo"
"Template Settings","Configurações de modelo"
"Template Variables","Variáveis do modelo"
Templates,Modelos
"Text length does not satisfy specified text range.","Comprimento do texto não satisfaz o intervalo de texto especificado."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","O %s você inseriu é inválido. Por favor, certifique-se de que segue o formato ""http://domain.com/""."
"The From Date value should be less than or equal to the To Date value.","O valor de data deve ser menor ou igual ao valor de data."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código de loja pode conter somente letras (a-z), números (0-9) ou underscore(_), o primeiro caractere deve ser uma carta"
"The store does not exist","A loja não existe"
"The store has been deleted.","A loja foi Excluídoda."
"The store has been saved.","A loja foi salvo."
"The store view has been deleted.","A vista da loja foi Excluídoda."
"The store view has been saved","A vista da loja foi salvo"
"The template Name must not be empty.","O modelo de nome não deve ser vazio."
"The value is not within the specified range.","O valor não está dentro do intervalo especificado."
"The website does not exist.","O site não existe."
"The website has been deleted.","O site foi excluído."
"The website has been saved.","O site foi salvo."
Themes,Temas
"This category and all its child elements","Esta categoria e todos os seus elementos-filho"
"This category and its child categories only","Esta categoria e suas categorias de criança só"
"This category and its products only","Nesta categoria e apenas seus produtos"
"This category only","Somente nesta categoria"
"This date is a required value.","Esta data é um valor necessário."
"This is a required field.","Este é um campo obrigatório."
"This store cannot be deleted.","Esta loja não pode ser excluída."
"This store view cannot be deleted.","Este ponto de vista da loja não pode ser excluído."
"This website cannot be deleted.","Este site não pode ser excluído."
"This will be displayed just before body closing tag.","Isto será exibido antes de tag de fechamento de corpo."
"This will be included before head closing tag in page HTML.","Isso será incluído antes de fechar a tag na página HTML."
Timezone,"Fuso horário"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo de título"
"Transactional Emails","E-mails transacionais"
"Translate Inline","Definição da palavra Inline"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Definição da palavra, blocos e outros caches de saída devem ser desabilitados para tanto frontend e admin traduções inline."
Translations,Traduções
"Two and more slashes together are not permitted in request path","Barras de dois e mais juntos não são permitidas no caminho da solicitação"
"Two and more slashes together are not permitted in url rewrite suffix","Barras de dois e mais juntos, não são permitidas no sufixo de reescrita de url"
"Unable to create directory: %s","Não é possível criar o diretório: %s"
"Unable to delete store view. Please, try again later.","Não é possível excluir exibição de loja. Por favor, tente novamente mais tarde."
"Unable to delete store. Please, try again later.","Não é possível excluir a loja. Por favor, tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não é possível excluir o site. Por favor, tente novamente mais tarde."
"Unable to proceed. Please, try again","Incapaz de prosseguir. Por favor, tente novamente"
"Unable to proceed. Please, try again.","Incapaz de prosseguir. Por favor, tente novamente."
"Unable to save file ""%s"" at ""%s""","Não é possível salvar o arquivo ""%s"" em ""%s"""
"Unable to save file: %s","Não é possível salvar o arquivo: %s"
"Unknown old style column type definition: {$definition}.","Definição do tipo de coluna de estilo antigo desconhecido: {$definition}."
"Unknown scope ""%s"".","Escopo desconhecido ""%s""."
Unsecure,Unsecure
"Url Options","Opções de URL"
"Use Custom Admin Path","Usar caminho Admin personalizado"
"Use Custom Admin URL","Use o URL personalizado Admin"
"Use HTTP Only","Usar HTTP somente"
"Use SID on Frontend","Uso SID no Frontend"
"Use Secure URLs in Admin","Usar URLs seguras em Admin"
"Use Secure URLs in Frontend","Usar URLs seguras no Frontend"
"Use Web Server Rewrites","Usar o Web Server regravações"
"VAT Number","Número de IVA"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","Validação falhou."
"Values less than 60 are ignored. Note that changes will apply after logout.","Valores inferiores a 60 são ignorados. Observe que as alterações serão aplicadas após o logout."
"Variable Code must be unique.","Código variável deve ser exclusivo."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Aviso! Habilitar este recurso não é recomendado em ambientes de produção porque ele representa um risco de segurança potencial."
Web,Web
Website,Site
"Website Information","Informações do site"
"Website Name","Nome do site"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Código do site pode conter somente letras (a-z), números (0-9) ou underscore(_), o primeiro caractere deve ser uma carta"
"Website with the same code","Site com o mesmo código"
"Weekend Days","Dias de semana"
"Welcome Text","Texto de boas vindas"
"Wrong file info format","Formato de informação de arquivo errado"
"Wrong number of arguments for %s","Número de argumentos para errado %s"
"Wrong old style column type definition: {$definition}.","Errado o definição de tipo de coluna de estilo antigo: {$definition}."
Yes,Sim
"You will have to log in after you save your custom admin path.","Você terá que entrar depois que você salvar seu caminho admin personalizado."
"Your design change for the specified store intersects with another one, please specify another date range.","Sua mudança de design para armazenamento especificado cruza com outro, por favor, especifique um intervalo de datas."
"database ""%s""","banco de dados ""%s"""
