"%s %s cycle.","%s %s ciclo."
"--Please Select--","-- Por favor selecione..."
"Saved CC","CC salvo"
"Schedule Description","Horário descrição"
"Schedule description must be not empty.","Descrição da agenda não deve ser vazia."
"Selected payment type is not allowed for billing country.","Tipo de pagamento selecionado não é permitido para país de faturamento."
"Send Check to","Enviar cheque para"
"Send Check to:","Envie cheque para:"
"Severe 3D Secure Card Validation","Validação de cartão seguro 3D grave"
"Severe validation removes chargeback liability on merchant.","Validação grave remove chargeback responsabilidade no mercador."
"Shipping Amount","Transporte quantidade"
"Short description of the recurring payment. By default equals to the product name.","Breve descrição do pagamento recorrente. Por padrão é igual ao nome do produto."
"Sort Order","Ordem de classificação"
"Start Date","Data de início"
"Start date has invalid format.","Data inicial tem formato inválido."
"Start date is undefined.","Data de início é indefinida."
"Subscriber Name","Nome do assinante"
"Switch/Solo/Maestro Issue Number","Número de emissão de switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Maestro/switch/Solo só"
"Switch/Solo/Maestro Start Date","Data de início do Maestro/switch/Solo"
"Tax Amount","Valor do imposto"
"Test Mode","Modo de teste"
"The date when billing for the profile begins.","A data de quando começa o faturamento para o perfil."
"The number of billing cycles for payment period.","O número de ciclos de faturamento para o período de pagamento."
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos regulares que pode falhar antes que o perfil é automaticamente suspenso."
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"The requested Payment Method is not available.","O método de pagamento solicitado não está disponível."
Title,Título
"Trial Billing Amount","Teste quantidade de faturamento"
"Trial Billing Frequency","Freqüência de faturamento experimental"
"Trial Billing Period Unit","Julgamento Períoda unidade de faturamento"
"Trial Period","Período experimental"
"Trial billing amount is wrong.","Quantidade de faturamento julgamento é errada."
"Trial billing period unit is wrong.","Unidade experimental de período faturamento é errada."
"Trial period frequency is wrong.","Freqüência de período experimental é errada."
"Trial period max cycles is wrong.","Ciclos de máximos períodos experimentais é errado."
"Two Weeks","Duas semanas"
"Unable to save Billing Agreement:","Não é possível salvar o acordo de faturamento:"
"Unit for billing during the subscription period.","Unidade de faturamento durante o período de subscrição."
"Unsupported currency code: %s.","Sem suporte a código de moeda: %s."
"Void action is not available.","Void ação não está disponível."
Week,Semana
"What is this?","O que é isto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Se deve suspender o pagamento perfil se a taxa inicial falhar ou adicioná-lo para o saldo em dívida."
"Wrong %s specified.","Errado %s especificado."
"Wrong or empty billing amount specified.","Errado ou vazia faturamento quantidade especificada."
Year,Ano
"Zero Subtotal Checkout","Zero Subtotal Checkout"
