-OR-,-OU-
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Aceite pagamentos em seu carrinho de compras. PayPal irá processar os pagamentos com cartão através do Payflow Gateway."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Aceitamos pagamentos com um checkout compatível com PCI que mantém os clientes em seu site."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Aceitamos pagamentos com um checkout compatível com PCI que mantém os clientes em seu site."
"Accept payments with a completely customizable checkout page.","Aceitamos pagamentos com uma página de checkout completamente personalizável."
"Accept payments with a completely customizable checkout.","Aceitamos pagamentos com um check-out totalmente personalizável."
"Acceptance Mark","Marca de aceitação"
"Acceptance Mark Image","Imagem de marca de aceitação"
"Account-to-Account Payment, initiated by PayPal","Pagamento de conta para conta, iniciado pelo PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Adicione PayPal como um método de pagamento adicionais para sua página de checkout para aumentar suas vendas."
"Add PayPal as an additional payment method to your checkout page.","Adicione PayPal como um método de pagamento adicionais para sua página de checkout."
"Add another payment method to your existing solution or as a stand-alone option.","Adicione outro método de pagamento para sua solução existente ou como uma opção autônoma."
"Additional Options","Opções adicionais"
Address,Endereço
"Address Verification System Response","Resposta de sistema de verificação de endereço"
"Advanced Settings","Configurações avançadas"
"All the address information matched","Todas as informações de endereço correspondidas"
"Allow in Billing Agreement Wizard","Permitir que no acordo assistente de faturamento"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primário"" (padrão), your_custom_value (um estilo de página personalizada do pagamento do seu perfil de cliente mercante)."
"Allowed Credit Card Types","Permitido tipos de cartão de crédito"
"Also affects mini-shopping cart.","Também afeta o mini-carrinho."
"Ask Customer","Pergunte ao cliente"
"Attempted Authentication, Bad Result","Tentativa de autenticação, mau resultado"
"Attempted Authentication, Good Result","Tentativa de autenticação, bom resultado"
"Auction Payment other than through eBay","Pagamento de leilão diferente do através do eBay"
"Authenticated, Bad Result","Resultado ruim, autenticado"
"Authenticated, Good Result","Resultado bom, autenticado"
Authorization,Autorização
"Authorization Honor Period (days)","Autorização honra período (dias)"
"Authorization transaction is required to void.","Transação de autorização é necessária para void."
"Authorized amount of %s.","Valor autorizado de %s."
"Authorizing amount of %s is pending approval on gateway.","Autorizando a quantidade de %s está pendente de aprovação no gateway."
Auto,Automático
AutoSweep,AutoSweep
"Available Balance","Saldo disponível"
"Balance Manager Account Bonus","Gerente de saldo conta bônus"
"Basic Settings - PayPal Express Checkout","Configurações básicas - PayPal expressam Checkout"
"Basic Settings - PayPal Integral Evolution","Configurações básicas - evolução Integral do PayPal"
"Basic Settings - PayPal Pasarela integral","Configurações básicas - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Configurações básicas - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Configurações básicas - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Configurações básicas - pagamentos PayPal avançado"
"Basic Settings - PayPal Payments Pro","Configurações básicas - pagamentos PayPal Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Configurações básicas - PayPal pagamentos Pro solução hospedada"
"Basic Settings - PayPal Payments Standard","Configurações básicas - padrão de pagamentos PayPal"
"Basic Settings - PayPal Pro","Configurações básicas - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Configurações básicas - pagamentos PayPal site Plus"
"Basic Settings - PayPal Website Payments Pro","Configurações básicas - pagamentos PayPal site Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Configurações básicas - site PayPal pagamentos Pro solução hospedada"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Configurações básicas - pagamentos PayPal site Payflow Pro Edition"
"Basic Settings - PayPal Website Payments Standard","Configurações básicas - norma de pagamentos PayPal site"
"Billing Address","Endereço de facturação"
"Billing Agreement Signup","Cobrança de inscrição de acordo"
"Bonus for first ACH Use","Bônus para o primeiro uso de ACH"
"Both section above must be complete. ","Ambos seção acima deve ser completa. "
"Buyer Credit Payment","Pagamento de crédito do comprador"
"Buyer claims that a possible duplicate payment was made to the merchant.","Comprador afirma que um eventual pagamento duplicado foi feito para o comerciante."
"Buyer claims that he did not receive goods or service.","Comprador afirma que ele não recebeu mercadoria ou serviço."
"Buyer claims that he/she did not authorize transaction.","Comprador alega que ele/ela não autorizou a transação."
"Buyer claims that the goods or service received differ from merchantâs description of the goods or service.","Declarações do comprador que os bens ou serviços recebidos diferem de descrição do comerciante do produto ou do serviço."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Comprador afirma que a mercadoria recebida é insatisfatória, defeituosos ou danificados."
"Buyer\'s Tax ID","ID de imposto do Buyer\"
"Buyer\'s Tax ID Type","Tipo de identificação fiscal do Buyer\"
"By default it is ""reports.paypal.com"".","Por padrão é ""reports.paypal.com""."
CNPJ,CNPJ
CPF,CPF
"CVV Entry is Editable","Entrada do CVV é editável"
"CVV2 Check Result by PayPal","CVV2 Resultado de seleção por PayPal"
"Can not send new order email.","Não é possível enviar email novo ordem."
"Cannot create target file for reading reports.","Não é possível criar o arquivo de destino para a leitura de relatórios."
"Centinel API URL","URL Centinel API"
"Centinel Custom API URL","URL personalizada Centinel API"
Charge-off,Carga-off
Chargeback,Chargeback
"Checkout with PayPal","Checkout com PayPal"
"Choose a secure bundled payment solution for your business.","Escolha uma solução de pagamento incluído seguro para o seu negócio."
City,Cidade
"Click here if you are not redirected within 10 seconds...","Clique aqui se você não é redirecionado em 10 segundos..."
Close,Fechar
Company,Empresa
Complaint,Reclamação
"Completion Date","Data de conclusão"
Configure,Configurar
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Conecte seu comerciante conta com um gateway compatível com PCI que permite que os clientes pagam sem deixar o seu site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Conecte seu comerciante conta com um portal totalmente personalizável que permite que os clientes pagam sem deixar o seu site."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Conectando ao servidor SFTP PayPal para buscar novos relatórios. Tem certeza que deseja prosseguir?"
Continue,Continuar
"Countries Payment Applicable From","Pagamento de países aplicável a partir de"
Country,País
"Coupon Redemption","Redenção de cupom"
Credit,Crédito
"Credit Card Settings","Configurações de cartão de crédito"
"Currency Conversion required to cover negative balance","Conversão de moeda necessário para cobrir o saldo negativo"
Custom,Personalizado
"Custom Endpoint Hostname or IP-Address","Ponto de extremidade personalizado Hostname ou endereço IP"
"Custom Path","Caminho personalizado"
"Customer Information","Informações do cliente"
"Customer did not include a confirmed address.","Cliente não incluiu um endereço confirmado."
Daily,Diário
Debit,Débito
"Debit Card Cash Back","Cartão de débito Cash Back"
"Debit Card Transaction","Transações de cartão de débito"
"Debit or Credit","Cartão de débito ou crédito"
"Debug Mode","Modo de depuração"
"Direct Payment API","API de pagamento directo"
Discount,Desconto
"Display Express Checkout in the Payment Information step","Exibir Express Checkout na etapa de informações de pagamento"
"Displays on catalog pages and homepage.","Exibe nas páginas do catálogo e homepage."
Dispute,Disputa
"Don't have a PayPal account? Simply enter your email address.","Não tem uma conta PayPal? Basta digite o seu endereço de e-mail."
Dynamic,Dinâmica
"EFT Funding (German banking)","EFT financiamento (banco alemão)"
"Edit Shopping Cart","Editar carrinho de compras"
"Email Address","Endereço de e-mail"
"Email Associated with PayPal Merchant Account","E-mail associado à conta PayPal Merchant"
"Email Associated with PayPal Merchant Account (Optional)","E-mail associado à conta PayPal Merchant (opcional)"
"Enable Automatic Fetching","Ativar a busca automática"
"Enable Express Checkout","Habilitar o Express Checkout"
"Enable PayPal Guest Checkout","Habilitar comentários PayPal Checkout"
"Enable Payflow Link","Habilitar Payflow Link"
"Enable SSL verification","Habilitar verificação de SSL"
"Enable this Solution","Habilitar esta solução"
Enabled,Habilitado
Event,Evento
"Event Code","Código do evento"
"Every 10 days","Em 10 dias"
"Every 14 days","Em 14 dias"
"Every 3 days","Cada 3 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","Em 40 dias"
"Every 7 days","Cada 7 dias"
"Exact Match. Address and Postal Code. International","Correspondência exata. Endereço e Código Postal. International"
"Exact Match. Address and Postal Code. UK-specific","Correspondência exata. Endereço e Código Postal. UK-específicos"
"Exact Match. Address and nine-digit ZIP code","Correspondência exata. Endereço e código postal de nove dígitos"
"Express Checkout","Express Checkout"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout and Order have been canceled.","Check-out expresso e a ordem foram cancelados."
"Express Checkout has been canceled.","Express Checkout foi cancelada."
"Failed to fetch reports from '%s@%s'.","Falha ao buscar relatórios de ' %s @%s '."
Fax,Fax
"Fee Amount","Quantidade de taxa"
"Fee Debit or Credit","Débito de taxa ou crédito"
"Fee Reversal","Reversão de taxa"
"Fee: Foreign ACH Withdrawal","Taxa: Retirada de estrangeiros de ACH"
"Fee: Mass Pay Request","Taxa: Pedido de pagamento em massa"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Web Site Pro conta pagamentos mensais"
"Fee: WorldLink Check Withdrawal","Taxa: Retirada de WorldLink seleção"
Fetch,Buscar
"Fetch Updates","Buscar atualizações"
"Fetched %s report rows from '%s@%s'.","Buscados %s relatório linhas de ' %s @%s '."
"For Virtual Quotes Only","Virtual citações somente"
"Frontend Experience Settings","Experiência de frontend configurações"
Funding,Financiamento
"General (Authorization)","Geral (autorização)"
"General (Dividend)","Geral (dividendos)"
"General (Funds Transfer from PayPal Account to Another)","Geral (transferência de fundos da conta PayPal para outra)"
"General (Purchase with a credit card)","Geral (compra com cartão de crédito)"
"General Adjustment without businessrelated event","Ajuste geral sem businessrelated evento"
"General Currency Conversion","Conversão de moeda geral"
"General Funding of PayPal Account ","Financiamento geral da conta PayPal "
"General Redemption","Geral Redemption"
"General Withdrawal from PayPal Account","Geral retirada da conta PayPal"
"General. Product no longer supported","Geral. Não há mais suportado de produto"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Uso da conta PayPal para comprar bem como receber pagamentos"
"General: Withdrawal from PayPal Account","Geral: Retirada da conta PayPal"
"General: Withdrawal to Non-Bank Entity","Geral: Retirada de entidade não-bancárias"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: ajuste de um tipo não pertencentes as outras categorias de T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Geral: bônus de um tipo não pertencentes as outras categorias de T08xx"
"General: event not yet categorized","Geral: evento ainda não Categorizado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: taxa de inadimplência de um tipo não pertencentes as outras categorias de T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Geral: recebido o pagamento de um tipo não pertencentes as outras categorias de T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Geral: reversão de um tipo não pertencentes as outras categorias de T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: espera temporária de um tipo não pertencentes as outras categorias de T15xx"
"Get Credentials from PayPal","Obter credenciais de PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento de vale-presente: compra de vale-presente"
"Gift Certificate Redemption","Redenção do vale-presente"
"Gross Amount","Montante bruto"
"Header Background Color","Cor de fundo do cabeçalho"
"Header Border Color","Cor de borda de cabeçalho"
"Header Image URL","URL da imagem de cabeçalho"
Help,Ajuda
"Hidden Virtual PayPal Debit Card Transaction","Escondido a transação do cartão de débito Virtual do PayPal"
"Hold for Dispute Investigation","Segure para investigação de disputa"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Valor da transação %s. ID da transação: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". Uma disputa foi resolvida e fechada. %s Valor da transação %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Caso o tipo ""%s"". Caso ID ""%s"" %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se estiver vazio, um valor padrão será usado. URL personalizada pode ser fornecido pelo CardinalCommerce acordo."
"If not specified, Default Country from General Config will be used","Se não for especificado, será usado padrão país do General Config"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opção estiver habilitada, cliente pode alterar endereço de entrega e método de envio no site do PayPal. No modo live funciona através do protocolo HTTPS somente."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Se você não tiver vários usuários configurar na sua conta, por favor, re-digite seu Login de fornecedor/comerciante aqui."
"Impossible to issue a refund transaction because the capture transaction does not exist.","É impossível emitir uma transação de reembolso, porque a transação de captura não existe."
Incentive,Incentivo
"Initiation Date","Data de início"
"Integral Evolution","Evolução integral"
"Invoice ID","ID da fatura"
"Issuer Liability","Responsabilidade do emitente"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Recomenda-se definir esse valor para ""débito ou cartão de crédito"" por exibições de loja."
"It is recommended to set this value to ""PayPal"" per store views.","Recomenda-se definir esse valor para ""PayPal"" por exibições de loja."
"Items in Your Shopping Cart","Itens em seu carrinho de compras"
"Last Correlation ID","Último ID de correlação"
"Last Transaction ID","Última transação ID"
"Learn More","Saiba Mais"
Login,Login
"Mass Pay Payment","Massa paga pagamento"
"Matched (CVV2)","Combinado (CVV2)"
"Matched (CVV2CSC)","Combinado (CVV2CSC)"
"Matched Address only (no ZIP)","Endereço correspondente apenas (sem ZIP)"
"Matched Address only (no ZIP). International","Endereço correspondente apenas (sem ZIP). International"
"Matched Postal Code only (no Address)","Correspondente Código Postal apenas (sem endereço)"
"Matched five-digit ZIP only (no Address)","Correspondência postal de cinco dígitos apenas (sem endereço)"
"Matched whole nine-didgit ZIP (no Address)","Toda correspondência do nove-didgit ZIP (sem endereço)"
"Merchant Account","Cliente mercante"
"Merchant Country","País comerciante"
"Merchant Liability","Responsabilidade do comerciante"
"Merchant Location","Comerciante local"
"Merchant Protection Eligibility","Elegibilidade de proteção mercante"
"Merchant Referral Bonus","Bônus de referência mercante"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Comerciante mantém uma conta nos EUA e não tem um mecanismo de retirada."
"Merchant reference ID format is not supported.","Comerciante referência ID formato não é suportado."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Comerciantes precisam aplicar a PayPal para habilitar o recurso de acordos de faturamento. Não habilite esta opção até PayPal confirma que acordos de faturamento são habilitados para sua conta de comerciante."
"Mobile Payment (made via a mobile phone)","Pagamento móvel (feita através de um telefone móvel)"
N/A,N/A
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. o endereço não verificado, ou adquirente não teve nenhuma resposta. Serviço não disponível"
"N/A. Global Unavailable","N/a. Global não está disponível"
"N/A. International Unavailable","N/a. International-indisponível"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant indicou que o CVV2 não está presente no cartão"
"N/A. No response","N/A. Sem resposta"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Não permitido para transações de MOTO (Internet/telefone)"
"N/A. Not processed","N/A. Não processados"
"N/A. Retry","N/a. Retry"
"N/A. Service not Supported","N/A. Service não suportado"
"N/A. Service not available","N/A. Service não está disponível"
"N/A. Service not supported","N/A. Service não suportado"
"N/A. The merchant did not provide AVS information","N/A. O comerciante não forneceu informações de AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/A. O comerciante não implementou a manipulação de código CVV2"
"N/A. Unavailable","N/a não está disponível."
"Negative Balance","Saldo negativo"
Never,Nunca
No,Não
"No Details matched","Sem detalhes combinados"
"No Details matched. International","Sem detalhes combinados. International"
"No Liability Shift","Nenhuma mudança de responsabilidade"
"No Logo","Nenhum logotipo"
"No match",Páreo
"None of the address information matched","Nenhuma das informações endereço correspondidas"
"Not sure what PayPal payment method to use? Click <a href=""%s"" target=""_blank"">here</a> to learn more.","Não tenho certeza qual método de pagamento PayPal para usar? Clique <a href=""%s"" target=""_blank""> aqui</a> para saber mais."
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","Nada para buscar por causa de uma configuração vazia."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Observe que o PayPal pode lidar com até 10 opções de envio. É por isso que Magento irá transferir somente primeiros 10 opções de frete mais baratos, se há mais de 10 disponíveis."
"Notified customer about creditmemo #%s.","Cliente notificado sobre creditmemo #%s."
"Notified customer about invoice #%s.","Cliente notificado sobre factura #%s."
"Now accepting PayPal (150 X 40)","Agora aceitando PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Agora aceitando PayPal (150 X 60)"
"Number of Child Authorizations","Número de autorizações de criança"
"Open Authorization","Autorização aberta"
Order,Ordem
"Order ID","ID da encomenda"
"Order Valid Period (days)","Ordem válido período (dias)"
"Ordered amount of %s.","Quantidade ordenada de %s."
"Ordering amount of %s is pending approval on gateway.","Encomendar a quantidade de %s está pendente de aprovação no gateway."
"Page Background Color","Cor de fundo da página"
"Page Style","Estilo de página"
"Part of the address information matched","Parte das informações de endereço correspondidas"
Partner,Parceiro
"Pasarela integral","Pasarela integral"
Password,Senha
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Soluções de pagamento PayPal All-in-One <i>Accept e processo de cartões de crédito e pagamentos PayPal.</i>"
"PayPal Balance Manager function of PayPal account","Função de gerente de saldo PayPal de conta PayPal"
"PayPal Billing Agreement Settings","PayPal Billing Acordo configurações"
"PayPal Buyer Warranty Bonus","Comprador PayPal garantia bônus"
"PayPal Debit Card Cash Advance","PayPal débito cartão Cash Advance"
"PayPal Debit Card Withdrawal from ATM","Retirada do cartão de débito PayPal de ATM"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout atalho Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token não existe."
"PayPal Express Checkout is not enabled.","PayPal Express Checkout não está habilitado."
"PayPal Express Order Review Form","Formulário de revisão de ordem de PayPal Express"
"PayPal Fee Information","Informação taxa PayPal"
"PayPal Merchant Pages Style","Comerciante PayPal páginas estilo"
"PayPal Payment Gateways","Gateways de pagamento PayPal"
"PayPal Payment Solutions","Soluções de pagamento PayPal"
"PayPal Pro","PayPal Pro"
"PayPal Product Logo","Logotipo de produto PayPal"
"PayPal Protection Bonus","Bônus de proteção do PayPal"
"PayPal Reference ID","ID de referência do PayPal"
"PayPal Reference ID Type","Tipo de referência ID PayPal"
"PayPal Settlement Reports","Relatórios de liquidação do PayPal"
"PayPal certificate does not exist.","PayPal certificado não existe."
"PayPal certificate file is empty.","O arquivo de certificado PayPal está vazio."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal não suporta o processamento de pedidos com quantidade zero. Para concluir a compra, prossiga para o processo de saída padrão."
"PayPal gateway has rejected request. %s","Gateway de PayPal rejeitou o pedido. %s"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recomenda que você configure um usuário adicional na sua conta em manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recomenda que você criar um usuário adicional na sua conta em manager.paypal.com, em vez de digitar seu nome de usuário admin e a senha aqui. Isto irá melhorar a sua segurança e evitar interrupções de serviço se você posteriormente alterar sua senha. Se você não quer criar um usuário adicional, você pode re-digite seu Login de comerciante aqui."
"PayPal response hasn't required fields.","Resposta do PayPal não tem exigido campos."
"PayPal retains reports for 45 days.","PayPal mantém relatórios durante 45 dias."
"PayPal/Centinel Electronic Commerce Indicator","Indicador de comércio eletrônico PayPal/Centinel"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer autenticação serviço resultado"
"Payer Address ID","Ordenante endereço ID"
"Payer Address Status","Status de endereço do contribuinte"
"Payer Email","E-mail do autor"
"Payer ID","Payer ID"
"Payer Status","Status de pagamento"
"Payer is not identified.","Contribuinte não é identificado."
"Payflow Link","Payflow Link"
"Payflow Link (Includes Express Checkout)","Payflow Link (inclui Express Checkout)"
"Payflow Pro","Payflow Pro"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (inclui Express Checkout)"
"Payflow Pro and Express Checkout","Payflow Pro e Express Checkout"
"Payment Action","Ação de pagamento"
"Payment Applicable From","Pagamento aplicável a partir de"
"Payment Refund initiated by merchant","Restituição de pagamento iniciada pelo comerciante"
"Payment has been declined. Please try again.","Pagamento foi recusado. Por favor, tente novamente."
"Payment transactions disallow storing objects.","Operações de pagamento não permitir armazenar objetos."
"Payments Advanced","Pagamentos avançados"
"Payments Advanced (Includes Express Checkout)","Pagamentos avançados (inclui Express Checkout)"
"Payments Pro (Includes Express Checkout)","Pagamentos Pro (inclui Express Checkout)"
"Payments Pro Hosted Solution","Pagamentos Pro solução hospedada"
"Payments Pro and Express Checkout","Pagamentos Pro e Express Checkout"
"Payments Standard","Norma de pagamentos"
"Payments by PayPal (150 X 40)","Pagamentos por PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos por PayPal (150 X 60)"
"Pending PayPal","PayPal pendente"
"Place Order","Ordem do lugar"
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de fazer a encomenda."
"Please do not refresh the page until you complete payment.","Por favor, não atualize a página até que você conclua o pagamento."
"Please re-enable the previously enabled payment solutions.","Por favor, re-habilite as soluções de pagamento previamente habilitado."
"Please select a shipping method...","Por favor, selecione um método de envio..."
"Please select region, state or province","Por favor selecione a região, estado ou província"
"Please update order data to get shipping methods and rates","Por favor, atualizar os dados de ordem para obter transporte métodos e taxas"
"Points Incentive Redemption","Pontos incentivo redenção"
"Postage Payment to either USPS or UPS","Pagamento de postagem para USPS ou UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagamento pré-aprovado (BillUser API), enviados ou recebidos"
"Preapproved Payment ID","Pagamento pré-aprovado ID"
Price,Preço
Pro,Pro
"Process payments using your own internet merchant account.","Processos pagamentos usando sua própria conta de comerciante do internet."
"Product Name","Nome do produto"
"Proxy Host","Host proxy"
"Proxy Port","Porta proxy"
Qty,Qty
Reauthorization,Reautorização
"Reference Information","Informações de referência"
"Reimbursement for a chargeback.","Reembolso para um estorno."
"Reimbursement of Chargeback","Reembolso de Chargeback"
"Report Date","Data do relatório"
Reports,Relatórios
"Require CVV Entry","Exigem entrada CVV"
"Require Customer's Billing Address","Requerem o endereço de facturação do cliente"
"Required PayPal Settings","Configurações necessárias PayPal"
"Required Settings","Configurações necessárias"
Reversal,Reversão
"Reversal of General Account Hold","Reversão da preensão de conta geral"
"Reversal of Points Usage","Reversão de pontos de uso"
"Reversal of an adjustment.","Reversão de um ajustamento."
"Reversal of hold for Dispute Investigation","Reversão de espera para investigação de disputa"
"Review Order","Pedido de revisão"
"Reward Voucher Redemption","Recompensa Voucher redenção"
"SFTP Credentials","Credenciais SFTP"
Sale,Venda
Sales,Vendas
"Same as shipping","Mesmo que o transporte"
"Sandbox Credentials","Credenciais da caixa de areia"
"Sandbox Mode","Modo sandbox"
Schedule,Agenda
"Schedule description is too long.","Descrição do calendário é muito longa."
"Scheduled Fetching","Agendadas buscando"
"Select a Payment Solution","Selecione uma solução de pagamento"
"Send Email Confirmation","Enviar E-mail de confirmação"
"Server Error. Please try again.","Erro de servidor. Por favor, tente novamente."
"Settlement Consolidation","Consolidação de liquidação"
"Settlement Report Settings","Configurações de relatório de liquidação"
"Settlement of a chargeback.","Resolução de um estorno."
"Severe 3D Secure Card Validation","Validação de cartão seguro 3D grave"
"Severe Validation Removes Chargeback Liability on Merchant","Validação grave remove Chargeback responsabilidade sobre mercador"
"Severe validation removes chargeback liability on merchant.","Validação grave remove chargeback responsabilidade no mercador."
Shipping,Frete
"Shipping Address","Endereço de envio"
"Shipping Method","Método de envio"
"Shop now using (150 X 40)","Loja usando agora (150 X 40)"
"Shop now using (150 X 60)","Loja usando agora (150 X 60)"
Shortcut,Atalho
"Shortcut Buttons Flavor","Sabor de botões de atalho"
"Shortcut on Product View","Atalho na exibição do produto"
"Shortcut on Shopping Cart","Atalho no carrinho de compras"
"Sign a billing agreement to streamline further purchases with PayPal.","Sinal de um acordo de faturamento para agilizar ainda mais compras com PayPal."
Solo,Solo
"Some PayPal solutions conflict.","Algum conflito de soluções do PayPal."
"Sorry, no quotes are available for this order at this time.","Desculpa, sem aspas estão disponíveis para esta ordem neste momento."
"Sort Order","Ordem de classificação"
"Specifies what the Authorization Honor Period is on the merchantâs PayPal account. It must mirror the setting in PayPal.","Especifica o que é o período de honra de autorização na conta do PayPal do comerciante. Ele deve espelhar a configuração no PayPal."
"Specifies what the Order Valid Period is on the merchantâs PayPal account. It must mirror the setting in PayPal.","Especifica o que é o período válido da ordem na conta do PayPal do comerciante. Ele deve espelhar a configuração no PayPal."
State/Province,Estado/província
Static,Estática
"Street Address","Endereço rua"
"Street Address %s","Endereço rua %s"
"Submitting order information...","Apresentar informações de ordem..."
"Subscriber name is too long.","Nome do assinante é muito longo."
"Subscription ID","ID de assinatura"
"Subscription Payment, either payment sent or payment received","Pagamento de inscrição, ou pagamento enviado ou pagamento recebido"
Subtotal,Subtotal
