%s,%s
"%s role is a special one and can\'t be changed.","%s o papel é um especial e can\ ' t ser alterado."
"%s role is a special one and can\'t be deleted.","%s o papel é um especial e can\ ' t ser excluído."
"%s role is protected.","%s papel está protegido."
"ACL Attribute Rules","Regras de atributo ACL"
"The role is a special one and not for assigning it to admin users.","O papel é um especial de uma e não para atribuí-la aos usuários admin."
"Total Due","Total devido"
"Total Paid","Total pago"
"Total Refunded","Total Reembolsado"
"Total Reviews Count","Contagem total de clientes"
Type,Tipo
URL,URL
Update,Atualizar
"Use Config Settings for Allow Gift Message","Usar configurações de configuração para permitir que a presente mensagem"
"Use Config Settings for Allow Gift Wrapping","Usar configurações de configuração para permitam o envolvimento de presente"
"Use Config Settings for Backorders","Usar configurações de configuração para ordens pendentes"
"Use Config Settings for Enable Qty Increments","Usar as configurações de configuração para habilitar Qty incrementos"
"Use Config Settings for Manage Stock","Usar configurações de configuração para gerenciar estoque"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Usar as configurações de configuração para Qtd máxima permitida no carrinho de compras"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Usar definições de configuração para o Qty mínimo permitido no carrinho de compras"
"Use Config Settings for Notify for Quantity Below","Usar configurações de Config para notificar por quantidade abaixo"
"Use Config Settings for Qty Increments","Usar configurações de configuração para incrementos de Qty"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Usar configurações de configuração para Qty para o Status do Item tornar-se fora de estoque"
"User Type","Tipo de usuário"
"User type ""%s"" no longer exists","Tipo de usuário ""%s"" não existe mais"
"User type ""%s"" not found.","Tipo de usuário ""%s"" não encontrado."
"Web Services","Serviços Web"
"Web services","Serviços Web"
Write,Escrever
"ZIP/Postal Code","CEP/Código Postal"
